Id,Index,Encoder,Position,Lab UPT,AmpL,AmpR,SnrL,SnrR,NoiL,NoiR,avgUPT,UPTCnt,IdxL,IdxR,UptL,UptR,UPT-Total,VelL,VelR,SkewL,SkewT,GLenL,GLenR,FreqL,FreqR,ZFAvgL,ZFAvgR,ZStdL,ZStdR,FFreqL,FFreqR,FZFAvgL,FZFAvgR,FZStdL,FZStdR
296193,70,1933891517,20.8192,,1.9513,1.07123,12.5324,3.62183,0.1557,0.29577,444.92,165,728,0,208,0,208,5533.91,0,0.272988,0.181993,45.3171,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,71,1933891528,21.1229,,1.77567,1.40313,24.103,20.082,0.07367,0.06987,444.92,165,727,750,207.714,214.286,422,5545.46,5263.58,0.272988,0.181993,45.3492,44.4059,0,0,0,0,0,0,0,0,0,0,0,0
296193,72,1933891536,21.3438,,1.7571,1.90002,21.1444,30.6356,0.0831,0.06202,444.92,165,720,732,205.714,209.143,414.857,5627.62,5458.06,0.272988,0.181993,45.578,44.9415,0,0,0,0,0,0,0,0,0,0,0,0
296193,73,1933891545,21.5923,,2.0286,1.73596,15.8981,32.7787,0.1276,0.05296,444.92,165,721,759,206,216.857,422.857,5615.73,5171.44,0.272988,0.181993,45.5449,44.1521,0,0,0,0,0,0,0,0,0,0,0,0
296193,74,1933891554,21.8408,,1.96091,1.011,18.8712,16.5738,0.10391,0.061,444.92,165,732,747,209.143,213.429,422.571,5488.22,5295.02,0.272988,0.181993,45.1899,44.4925,0,0,0,0,0,0,0,0,0,0,0,0
296193,75,1933891563,22.0893,,1.68122,1.01672,18.035,14.4667,0.09322,0.07028,444.92,165,739,732,211.143,209.143,420.286,5410.06,5458.06,0.272988,0.181993,44.9722,44.9415,0,0,0,0,0,0,0,0,0,0,0,0
296193,76,1933891570,22.2826,,1.79529,1.11421,23.845,19.4758,0.07529,0.05721,444.92,165,737,717,210.571,204.857,415.429,5432.16,5631.45,0.272988,0.181993,45.0338,45.419,0,0,0,0,0,0,0,0,0,0,0,0
296193,77,1933891587,22.752,,1.81102,0.7164,21.5546,15.7797,0.08402,0.0454,444.92,165,0,708,0,202.286,202.286,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,78,1933891597,23.0281,,1.92866,0.64867,24.9374,11.1207,0.07734,0.05833,444.92,165,716,712,204.571,203.429,408,5675.67,5691.72,0.272988,0.181993,45.7118,45.585,0,0,0,0,0,0,0,0,0,0,0,0
296193,79,1933891606,23.2766,,2.00043,0.70799,19.1557,12.0019,0.10443,0.05899,444.92,165,741,714,211.714,204,415.714,5388.13,5667.46,0.272988,0.181993,44.9112,45.5182,0,0,0,0,0,0,0,0,0,0,0,0
296193,80,1933891617,23.5804,,1.97241,1.19611,20.2485,13.4561,0.09741,0.08889,444.92,165,741,697,211.714,199.143,410.857,5388.13,5880.54,0.272988,0.181993,44.9112,46.105,0,0,0,0,0,0,0,0,0,0,0,0
296193,81,1933891627,23.8565,,1.94714,1.20029,12.7381,13.5949,0.15286,0.08829,444.92,165,739,706,211.143,201.714,412.857,5410.06,5765.78,0.272988,0.181993,44.9722,45.789,0,0,0,0,0,0,0,0,0,0,0,0
296193,82,1933891638,24.1602,,1.97029,1.18608,16.1884,21.2103,0.12171,0.05592,444.92,165,742,0,212,0,212,5377.23,0,0.272988,0.181993,44.8809,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,83,1933891649,24.4639,,1.99617,1.18736,17.3324,13.4378,0.11517,0.08836,444.92,165,738,708,210.857,202.286,413.143,5421.09,5740.88,0.272988,0.181993,45.0029,45.7204,0,0,0,0,0,0,0,0,0,0,0,0
296193,84,1933891663,24.8505,,2.00651,1.35914,29.7217,23.0911,0.06751,0.05886,444.92,165,745,720,212.857,205.714,418.571,5344.81,5595.9,0.272988,0.181993,44.7906,45.3211,0,0,0,0,0,0,0,0,0,0,0,0
296193,85,1933891674,25.1542,,1.98024,1.38749,24.679,28.6021,0.08024,0.04851,444.92,165,742,718,212,205.143,417.143,5377.23,5619.55,0.272988,0.181993,44.8809,45.3862,0,0,0,0,0,0,0,0,0,0,0,0
296193,86,1933891687,25.5132,,1.97945,1.25131,19.3023,12.6,0.10255,0.09931,444.92,165,743,727,212.286,207.714,420,5366.38,5514.66,0.272988,0.181993,44.8506,45.0974,0,0,0,0,0,0,0,0,0,0,0,0
296193,87,1933891699,25.8445,,1.97644,0.8697,41.6619,15.4476,0.04744,0.0563,444.92,165,690,722,197.143,206.286,403.429,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,88,1933891708,26.093,,1.96395,1.16424,25.4893,15.7842,0.07705,0.07376,444.92,165,747,718,213.429,205.143,418.571,5323.4,5619.55,0.272988,0.181993,44.731,45.3862,0,0,0,0,0,0,0,0,0,0,0,0
296193,89,1933891716,26.3139,,1.94628,1.22545,29.3645,19.3136,0.06628,0.06345,444.92,165,739,721,211.143,206,417.143,5410.06,5584.15,0.272988,0.181993,44.9722,45.2887,0,0,0,0,0,0,0,0,0,0,0,0
296193,90,1933891725,26.5624,,1.95684,1.32991,19.4054,27.0913,0.10084,0.04909,444.92,165,746,696,213.143,198.857,412,5334.08,5893.57,0.272988,0.181993,44.7607,46.1409,0,0,0,0,0,0,0,0,0,0,0,0
